steps,w1,w2,w3,w4,w5,w6,second,last
151,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
152,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
153,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
154,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
155,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
156,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
157,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
158,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
159,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
160,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
161,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
162,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
163,4.670171084212152,4.845018907538018,5.697563558849346,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,15.010036435425338
164,4.670171084212152,4.845018907538018,5.697563558849346,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,15.010036435425338
165,4.670171084212152,6.927089184841746,5.697563558849346,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,16.051071574077202
166,4.670171084212152,6.927089184841746,5.697563558849346,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,16.051071574077202
167,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
168,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
169,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
170,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
171,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
172,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
173,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
174,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
175,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
176,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
177,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
178,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
179,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
180,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
181,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
182,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
183,4.670171084212152,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,17.044165472057
184,7.080281255872988,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,18.249220557887416
185,7.080281255872988,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,18.249220557887416
186,7.080281255872988,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,18.249220557887416
187,7.080281255872988,6.927089184841746,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,18.249220557887416
188,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,19.220973888517655
189,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,19.220973888517655
190,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,19.220973888517655
191,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,19.220973888517655
192,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,7.404123318431396,4.020294810998095,9.951649152049184,19.220973888517655
193,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,9.347384979249245,4.020294810998095,9.951649152049184,20.192604718926578
194,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,9.347384979249245,4.020294810998095,9.951649152049184,20.192604718926578
195,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,9.347384979249245,4.020294810998095,9.951649152049184,20.192604718926578
196,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,9.347384979249245,4.020294810998095,9.951649152049184,20.192604718926578
197,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,9.347384979249245,4.020294810998095,9.951649152049184,20.192604718926578
198,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
199,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
200,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
201,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
202,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
203,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
204,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
205,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
206,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
207,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
208,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
209,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
210,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
211,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,10.879841124970199,4.020294810998095,9.951649152049184,20.958832791787056
212,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,4.020294810998095,9.951649152049184,21.56308025004483
213,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,4.020294810998095,9.951649152049184,21.56308025004483
214,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,4.020294810998095,9.951649152049184,21.56308025004483
215,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,4.020294810998095,9.951649152049184,21.56308025004483
216,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,4.020294810998095,9.951649152049184,21.56308025004483
217,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,4.020294810998095,9.951649152049184,21.56308025004483
218,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,4.020294810998095,9.951649152049184,21.56308025004483
219,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,7.232365446698797,9.951649152049184,23.169115567895183
220,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,7.232365446698797,9.912246235847697,23.09030973549221
221,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,7.232365446698797,9.912246235847697,23.09030973549221
222,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,12.088336041485745,7.232365446698797,9.912246235847697,23.09030973549221
223,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,13.245429773867757,7.232365446698797,9.912246235847697,23.668856601683217
224,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,13.245429773867757,7.232365446698797,9.912246235847697,23.668856601683217
225,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,13.245429773867757,7.232365446698797,9.912246235847697,23.668856601683217
226,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,13.245429773867757,7.232365446698797,9.912246235847697,23.668856601683217
227,7.080281255872988,8.870595846102228,7.683751354808939,7.576304582624926,13.245429773867757,7.232365446698797,9.912246235847697,23.668856601683217
228,7.080281255872988,8.870595846102228,10.153505429501864,7.576304582624926,13.245429773867757,7.232365446698797,9.912246235847697,24.903733639029678
