steps,w1,w2,w3,w4,second,last
324,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
325,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
326,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
327,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
328,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
329,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
330,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
331,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
332,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
333,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
334,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
335,9.232071853,10.10199437,12.93464508,12.65280955,9.794746785,21.050254
336,9.232071853,10.10199437,12.93464508,12.65280955,9.794746785,21.050254
337,9.232071853,10.10199437,12.93464508,12.65280955,9.794746785,21.050254
338,9.232071853,10.10199437,12.93464508,12.65280955,9.794746785,21.050254
339,9.232071853,10.10199437,12.93464508,12.65280955,9.794746785,21.050254
340,9.232071853,10.10199437,12.93464508,12.65280955,9.794746785,21.050254
341,9.232071853,10.10199437,12.93464508,12.65280955,9.794746785,21.050254
342,9.232071853,10.10199437,12.93464508,12.65280955,9.794746785,21.050254
343,9.232071853,10.10199437,13.38032089,12.65280955,9.794746785,21.2730919
344,9.232071853,10.10199437,13.38032089,12.65280955,9.794746785,21.2730919
345,10.44010042,10.10199437,13.38032089,12.65280955,9.794746785,21.87710618
346,10.44010042,10.10199437,13.38032089,12.65280955,9.767972305,21.82355722
347,10.44010042,10.10199437,13.38032089,12.65280955,9.767972305,21.82355722
348,10.44010042,10.10199437,13.38032089,12.65280955,9.767972305,21.82355722
349,10.44010042,11.18733336,13.38032089,12.65280955,9.767972305,22.36622672
350,10.44010042,11.18733336,13.38032089,12.65280955,9.767972305,22.36622672
351,10.44010042,11.18733336,13.38032089,12.65280955,9.767972305,22.36622672
352,10.44010042,11.18733336,13.38032089,12.65280955,9.767972305,22.36622672
353,10.44010042,11.18733336,13.38032089,12.65280955,9.767972305,22.36622672
354,10.44010042,11.18733336,13.38032089,12.65280955,9.767972305,22.36622672
355,10.44010042,11.18733336,13.38032089,12.65280955,9.767972305,22.36622672
356,10.44010042,11.18733336,13.38032089,12.65280955,9.767972305,22.36622672
357,11.51099981,11.18733336,13.38032089,12.65280955,9.767972305,22.90167642
358,11.51099981,11.18733336,13.38032089,12.65280955,9.767972305,22.90167642
359,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
360,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
361,11.51099981,11.18733336,13.91565026,12.65280955,9.767972305,23.1693411
